Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Mottura,2015,1975702,Villa Mottura Negroamaro Salento 2015,3.8,133,8.324868844047456,Italy,Salento
Cantina del Taburno,2013,87486,Fidelis Aglianico del Taburno 2013,3.8,42,8.586657172476622,Italy,Taburno
Tasca d'Almerita,2016,1280933,Sallier de La Tour Nero d'Avola 2016,3.6,512,8.848445500905788,Italy,Sicilia
Foffani - Casa Antica Mosaici,2019,1373720,Merlot Bianco 2019,4.0,31,9.947956480308282,Italy,Friuli Aquileia
Marcel Deiss,2009,1396952,Alsace Grand Cru Schoenenbourg 2009,4.4,129,93.19664492078286,France,Alsace Grand Cru
Domaine Jacqueson,2020,6364533,Rully 'La Barre' 2020,4.1,68,25.13167952919987,France,Rully
Sebastien David,2018,1212568,L'Hurluberlu 2018,4.0,316,51.3105123721164,France,Saint-Nicolas-de-Bourgueil
Arnaldo-Caprai,2018,1179334,Poggio Belvedere Umbria 2018,3.5,27,8.691372503848289,Italy,Umbria
Umani Ronchi,N.V.,7834639,LH2 Extra Brut N.V.,3.7,173,18.11575232729824,Italy,Marche
Kössler,2020,1582509,Lagrein 2020,3.7,99,13.194131752829932,Italy,Südtirol - Alto Adige
Dorigati,2018,1301295,Diedri Teroldego Rotaliano Riserva 2018,3.9,98,23.40387656156738,Italy,Teroldego Rotaliano
Le Cimate,2019,2591221,Trebbiano Spoletino 2019,3.8,73,12.6391404965601,Italy,Spoleto
Lisa Bunn,2018,1880575,Riesling Orbel 2018,3.5,30,39.362493062609296,Germany,Rheinhessen
Monchiero Carbone,2020,1619028,Gavi del Comune di Gavi 2020,3.7,73,10.052671811679948,Italy,Gavi
Spadafora,2009,94052,Sole dei Padri 2009,4.3,126,37.383373299684806,Italy,Sicilia
Cantina Toblino,2020,1137074,Gewürztraminer 2020,3.7,44,10.366817805794946,Italy,Trentino
Ruffino,2004,1137508,Tenuta Greppone Mazzi Brunello di Montalcino 2004,4.1,511,53.85509492444789,Italy,Brunello di Montalcino
Château Corbin-Michotte,1999,1163117,Saint-Émilion Grand Cru (Grand Cru Classé until 2012) 1999,4.0,209,50.6822203838864,France,Saint-Émilion Grand Cru
Château Marquis de Terme,2007,79272,Margaux (Grand Cru Classé) 2007,3.9,231,57.01749793187221,France,Margaux
Château Pontoise Cabarrus,2010,1109400,Haut-Médoc (Cru Bourgeois Supérieur) 2010,3.5,251,34.849262280490485,France,Haut-Médoc
Château Lanessan,2004,80456,Haut-Médoc 2004,3.8,289,38.0116652879148,France,Haut-Médoc
Château le Couvent,1995,1300494,Saint-Émilion Grand Cru 1995,3.9,65,38.0116652879148,France,Saint-Émilion Grand Cru
Château Corbin-Michotte,1982,1163117,Saint-Émilion Grand Cru (Grand Cru Classé until 2012) 1982,4.1,29,76.0233305758296,France,Saint-Émilion Grand Cru
Château Croizet-Bages,1998,1136286,Pauillac (Grand Cru Classé) 1998,3.9,212,57.01749793187221,France,Pauillac
Château Tour du Haut Moulin,1990,1127838,Haut-Médoc 1990,3.6,29,44.346942835900606,France,Haut-Médoc
Château le Couvent,1995,1300494,Saint-Émilion Grand Cru 1995,3.9,65,38.0116652879148,France,Saint-Émilion Grand Cru
